pool_address,pool_name,token0_address,token0_symbol,token0_decimals,token1_address,token1_symbol,token1_decimals,tvl_usd
0xeb034dc4e260a688ae0890462e487da50ed63aa9,PAXG-MKR,0x2f58c68404a7a218246abd6336e9bc0460a6e366,PAXG,18,0xb10e26b3ba9a3615b4bb47f5622b60c8702309b1,MKR,18,0
0xe92f3956fb759587496abbd55e5ffe8327fc11ee,ZOMI-WXDAI,0xc7b51034b2e39848c4f7f72f190649b4c06802a5,ZOMI,15,0xe91d153e0b41518a2ce8dd3d7944fa863463a97d,WXDAI,18,0
0xe311e3f8efdb33ed1c678f395a78531044d86920,WCHI-WXDAI,0x7211ab649a4139561a152b787de52d257cbaaee9,WCHI,8,0xe91d153e0b41518a2ce8dd3d7944fa863463a97d,WXDAI,18,0
0xe2b518e2f05d559f510d631403ecf65883a8a862,1INCH-AMIS,0x7f7440c5098462f833e123b44b8a03e1d9785bab,1INCH,18,0xd51e1ddd116fff9a71c1b8feeb58113afa2b4d93,AMIS,9,0
0xe0dc9804c9ce7d3e6bf4149b9c8e8b7ec418886f,WETH-BAO.cx,0x6a023ccd1ff6f2045c3309768ead9e68f978f6e1,WETH,18,0xe0d0b1dbbcf3dd5cac67edaf9243863fd70745da,BAO.cx,18,0
0xdcf4e6ab13e1b5f006c217bddefc9866f1cb6452,DLT-WXDAI,0xc4861f47225d0b19d9a69b94c6c5f01f2f2b49a7,DLT,8,0xe91d153e0b41518a2ce8dd3d7944fa863463a97d,WXDAI,18,0
0xdc3c9ff23305d7020ea50bb3ba334b2ff750b30d,GNO-STAKE,0x9c58bacc331c9aa871afd802db6379a98e80cedb,GNO,18,0xb7d311e2eb55f2f68a9440da38e7989210b9a05e,STAKE,18,8.280388308
0xd8e8085838e8e0f23fa6cca82652d176e5ab05dc,UNI-V2-IEON,0x8db8870ca4b8ac188c4d1a014f34a381ae27e1c2,UNI-V2,18,0xe297e995bc664f77fc4627cfb04d5cac6ffd34ab,IEON,18,0
0xd77c13d58fc67da84f3b440ce42a802d905ec6a0,CRV-GNO,0x712b3d230f3c1c19db860d80619288b1f0bdd0bd,CRV,18,0x9c58bacc331c9aa871afd802db6379a98e80cedb,GNO,18,145396.031
0xd74e5f9c5c94feeec0d28616c6683daea0e4c596,HAUS-AMIS,0xb0c5f3100a4d9d9532a4cfd68c55f1ae8da987eb,HAUS,18,0xd51e1ddd116fff9a71c1b8feeb58113afa2b4d93,AMIS,9,0
0xd6ca5faba0f78b3128db10fd86dd0ceffe612183,BAO-AMIS,0x82dfe19164729949fd66da1a37bc70dd6c4746ce,BAO,18,0xd51e1ddd116fff9a71c1b8feeb58113afa2b4d93,AMIS,9,0
0xd61f88ba5f9398860564a2d92d9a17f2a49ef5e7,BAO-YFI,0x82dfe19164729949fd66da1a37bc70dd6c4746ce,BAO,18,0xbf65bfcb5da067446cee6a706ba3fe2fb1a9fdfd,YFI,18,0
0xd3b959f84a64b378424c3f2af02b17037ca5707e,SLP-GNO,0x0f9d54d9ee044220a3925f9b97509811924fd269,SLP,18,0x9c58bacc331c9aa871afd802db6379a98e80cedb,GNO,18,0.039246016
0xd25815025c530e9f648e5f29f117c56177363336,ENJ-AMIS,0x5a757f0bcadfdb78651b7bdbe67e44e8fd7f7f6b,ENJ,18,0xd51e1ddd116fff9a71c1b8feeb58113afa2b4d93,AMIS,9,0
0xd1972f3b9236538be77574af2f35be059f854e52,GNO-COSMO,0x9c58bacc331c9aa871afd802db6379a98e80cedb,GNO,18,0xefb06b5fcf1b9c8704f41fe96b29a428d8624ed2,COSMO,18,9.22E-05
