workflow_name,workflow_schedule
dbt_run_scheduled_non_realtime,"12 * * * *"
dbt_run_streamline_chainhead,"25,55 * * * *"
dbt_run_streamline_decoder,"30 * * * *"
dbt_run_scheduled_curated,"40 */6 * * *"
dbt_run_streamline_decoded_logs_history,"25 17 * * 6"
dbt_test_intraday,"45 */4 * * *"
